name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,rating_expanded,platform_group
GANGS OF LONDON,PSP,2006,Adventure,0.3,0.43,0.0,0.22,52.0,67.0,M,0.95,Mature,Other
MARIO TENNIS OPEN,3DS,2012,Sports,0.26,0.29,0.34,0.05,69.0,69.0,E,0.9400000000000002,Everyone,Nintendo
PILOTWINGS RESORT,3DS,2011,Simulation,0.4,0.36,0.13,0.07,71.0,74.0,E,0.96,Everyone,Nintendo
WORLD CHAMPIONSHIP POKER,PS2,2004,Misc,0.8,0.03,0.0,0.13,60.0,77.0,E,0.9600000000000001,Everyone,Playstation
MY WEIGHT LOSS COACH,DS,2008,Sports,0.3,0.54,0.0,0.11,63.0,76.0,E,0.9500000000000001,Everyone,Nintendo
TOM CLANCY'S SPLINTER CELL CHAOS THEORY,PS2,2005,Action,0.36,0.45,0.0,0.14,87.0,86.0,M,0.9500000000000001,Mature,Playstation
SONIC UNLEASHED,X360,2008,Platform,0.54,0.32,0.0,0.09,60.0,78.0,E10+,0.9500000000000001,Everyone 10y+,XBox
SPONGEBOB SQUAREPANTS BATTLE FOR BIKINI BOTTOM,GC,2003,Platform,0.74,0.19,0.0,0.03,71.0,86.0,E,0.96,Everyone,Nintendo
DISNEY INFINITY 20 MARVEL SUPER HEROES,PS3,2014,Action,0.46,0.33,0.0,0.16,,,,0.9500000000000001,Pending,Playstation
PLAYSTATION ALL-STARS BATTLE ROYALE,PS3,2012,Action,0.5,0.27,0.04,0.15,74.0,73.0,T,0.9600000000000001,Teens,Playstation
SCOOBY-DOO! FIRST FRIGHTS,Wii,2009,Action,0.84,0.04,0.0,0.07,,,,0.95,Pending,Nintendo
EPIC MICKEY 2 THE POWER OF TWO,Wii,2012,Action,0.67,0.21,0.0,0.07,,,,0.95,Pending,Nintendo
MEGA MAN STAR FORCE DRAGON / LEO / PEGASUS,DS,2006,Action,0.39,0.0,0.53,0.03,,,,0.9500000000000001,Pending,Nintendo
PRO EVOLUTION SOCCER 2014,PS3,2013,Action,0.03,0.41,0.51,0.0,78.0,41.0,E,0.95,Everyone,Playstation
WILD ARMS,PS,1996,Role-Playing,0.26,0.17,0.46,0.06,,,,0.95,Pending,Playstation
TOM CLANCY'S GHOST RECON FUTURE SOLDIER,PS3,2012,Shooter,0.41,0.32,0.09,0.12,79.0,69.0,M,0.9400000000000001,Mature,Playstation
KESSEN,PS2,2000,Strategy,0.27,0.21,0.41,0.07,75.0,84.0,T,0.96,Teens,Playstation
DRIVER SAN FRANCISCO,PS3,2011,Racing,0.24,0.52,0.01,0.18,79.0,77.0,T,0.95,Teens,Playstation
YU-GI-OH! WORLDWIDE EDITION STAIRWAY TO THE DESTINED DUEL,GBA,2003,Misc,0.68,0.25,0.0,0.02,,,,0.9500000000000001,Pending,Nintendo
NCAA FOOTBALL 2000,PS,1999,Sports,0.53,0.36,0.0,0.06,,,,0.95,Pending,Playstation
BEN 10 ALIEN FORCE,DS,2008,Action,0.65,0.22,0.0,0.09,,28.0,E,0.96,Everyone,Nintendo
ARMY OF TWO THE 40TH DAY,X360,2010,Shooter,0.62,0.24,0.0,0.09,73.0,73.0,M,0.95,Mature,XBox
SONIC & SEGA ALL-STARS RACING,PS3,2010,Racing,0.36,0.43,0.0,0.16,,,,0.9500000000000001,Pending,Playstation
JUST DANCE 2016,Wii,2015,Misc,0.41,0.46,0.0,0.08,,,E10+,0.95,Everyone 10y+,Nintendo
SKYLANDERS TRAP TEAM,Wii,2014,Action,0.41,0.46,0.0,0.08,,,E10+,0.95,Everyone 10y+,Nintendo
LOST PLANET 2,PS3,2010,Shooter,0.29,0.33,0.2,0.13,68.0,69.0,T,0.9500000000000001,Teens,Playstation
LEGO PIRATES OF THE CARIBBEAN THE VIDEO GAME,PS3,2011,Action,0.36,0.43,0.0,0.16,73.0,71.0,E10+,0.9500000000000001,Everyone 10y+,Playstation
NBA 2K16,X360,2015,Sports,0.79,0.05,0.0,0.1,,32.0,E,0.9400000000000001,Everyone,XBox
KILLZONE,PS2,2004,Shooter,0.79,0.03,0.0,0.13,70.0,74.0,M,0.9500000000000001,Mature,Playstation
COLIN MCRAE RALLY 04,PS2,2003,Racing,0.01,0.71,0.01,0.21,,,,0.94,Pending,Playstation
CLUB PENGUIN GAME DAY!,Wii,2010,Sports,0.54,0.32,0.0,0.08,,,,0.9400000000000001,Pending,Nintendo
THE SPONGEBOB SQUAREPANTS MOVIE,GC,2004,Platform,0.73,0.19,0.0,0.03,73.0,78.0,E,0.95,Everyone,Nintendo
STAR FOX 64 3D,3DS,2011,Shooter,0.48,0.27,0.13,0.06,81.0,82.0,E10+,0.94,Everyone 10y+,Nintendo
MIDWAY PRESENTS ARCADE'S GREATEST HITS THE ATARI COLLECTION 1,PS,1996,Misc,0.52,0.36,0.0,0.06,,,,0.94,Pending,Playstation
CASTLEVANIA LAMENT OF INNOCENCE,PS2,2003,Action,0.46,0.36,0.0,0.12,79.0,84.0,M,0.9400000000000001,Mature,Playstation
ROCKSMITH 2014,X360,2013,Misc,0.69,0.16,0.0,0.09,,,,0.94,Pending,XBox
TOM CLANCY'S SPLINTER CELL BLACKLIST,PS3,2013,Action,0.34,0.39,0.06,0.15,84.0,77.0,M,0.9400000000000001,Mature,Playstation
DESTROY ALL HUMANS!,PS2,2005,Shooter,0.78,0.03,0.0,0.13,,,,0.9400000000000001,Pending,Playstation
SKYLANDERS SPYRO'S ADVENTURE,PS3,2011,Action,0.39,0.39,0.0,0.16,77.0,48.0,E10+,0.9400000000000001,Everyone 10y+,Playstation
MVP BASEBALL 2005,XB,2005,Sports,0.7,0.2,0.0,0.03,86.0,,,0.9299999999999999,Pending,XBox
SAGA FRONTIER 2,PS,1999,Role-Playing,0.1,0.07,0.71,0.06,,,,0.94,Pending,Playstation
PHANTASY STAR PORTABLE,PSP,2008,Role-Playing,0.19,0.06,0.63,0.05,64.0,78.0,T,0.9300000000000002,Teens,Other
WWE SMACKDOWN VS RAW 2009,PS3,2008,Fighting,0.51,0.3,0.01,0.12,78.0,70.0,T,0.9400000000000001,Teens,Playstation
NCAA FOOTBALL 10,X360,2009,Sports,0.87,0.0,0.0,0.07,83.0,67.0,E,0.94,Everyone,XBox
BRUTAL LEGEND,PS3,2009,Action,0.54,0.27,0.0,0.13,83.0,76.0,M,0.9400000000000001,Mature,Playstation
TONY HAWK RIDE,Wii,2009,Sports,0.69,0.17,0.0,0.08,47.0,45.0,E10+,0.94,Everyone 10y+,Nintendo
MLB 2000,PS,1999,Sports,0.52,0.35,0.0,0.06,,,,0.9299999999999999,Pending,Playstation
BULLY,PS2,2006,Action,0.75,0.03,0.04,0.12,87.0,91.0,T,0.9400000000000001,Teens,Playstation
RISE OF THE TOMB RAIDER,PS4,2016,Adventure,0.23,0.53,0.04,0.14,,,,0.9400000000000001,Pending,Playstation
PRINCE OF PERSIA THE SANDS OF TIME,XB,2003,Action,0.57,0.33,0.0,0.04,92.0,78.0,T,0.94,Teens,XBox
HOT SHOTS GOLF FORE!,PS2,2003,Sports,0.46,0.36,0.0,0.12,,,,0.9400000000000001,Pending,Playstation
MLB 06 THE SHOW,PS2,2006,Sports,0.78,0.03,0.0,0.13,83.0,89.0,E,0.9400000000000001,Everyone,Playstation
NHL 2003,PS2,2002,Sports,0.46,0.36,0.0,0.12,79.0,68.0,E,0.9400000000000001,Everyone,Playstation
NARUTO SHIPPUDEN ULTIMATE NINJA STORM 3,PS3,2013,Fighting,0.32,0.32,0.15,0.15,77.0,79.0,T,0.9400000000000001,Teens,Playstation
EA SPORTS UFC 2,PS4,2016,Sports,0.29,0.49,0.0,0.15,79.0,62.0,T,0.93,Teens,Playstation
THE SIMS 2,DS,2005,Simulation,0.81,0.05,0.0,0.07,70.0,61.0,E10+,0.9300000000000002,Everyone 10y+,Nintendo
BENTLEY'S HACKPACK,GBA,2005,Misc,0.67,0.25,0.0,0.02,,,,0.9400000000000001,Pending,Nintendo
TONY HAWK'S PRO SKATER 4,XB,2002,Sports,0.59,0.3,0.0,0.04,90.0,85.0,T,0.9299999999999999,Teens,XBox
DRAGON AGE INQUISITION,XOne,2014,Role-Playing,0.56,0.28,0.0,0.09,85.0,69.0,M,0.93,Mature,XBox
WHITE KNIGHT CHRONICLES INTERNATIONAL EDITION,PS3,2008,Role-Playing,0.33,0.16,0.36,0.08,64.0,75.0,T,0.9299999999999999,Teens,Playstation
SINGSTAR ABBA,PS3,2008,Misc,0.27,0.5,0.0,0.16,70.0,55.0,T,0.93,Teens,Playstation
CRASH CITY MAYHEM,GBA,2004,Racing,0.67,0.25,0.0,0.02,,,,0.9400000000000001,Pending,Nintendo
SPIDER-MAN,2600,1981,Action,0.87,0.05,0.0,0.01,,,,0.93,Pending,Other
KIRBY PLANET ROBOBOT,3DS,2016,Action,0.28,0.14,0.47,0.04,81.0,87.0,E,0.93,Everyone,Nintendo
TOY STORY 2 BUZZ LIGHTYEAR TO THE RESCUE!,N64,1999,Platform,0.71,0.2,0.0,0.01,,,,0.9199999999999999,Pending,Nintendo
CASTLEVANIA II SIMON'S QUEST,NES,1987,Platform,0.45,0.06,0.42,0.0,,,,0.9299999999999999,Pending,Nintendo
MEGA MAN 4,NES,1991,Platform,0.51,0.09,0.32,0.01,,,,0.93,Pending,Nintendo
GUITAR HERO METALLICA,Wii,2009,Misc,0.4,0.43,0.0,0.1,85.0,86.0,T,0.93,Teens,Nintendo
TEENAGE MUTANT NINJA TURTLES,GBA,2003,Action,0.67,0.25,0.0,0.02,71.0,88.0,E,0.9400000000000001,Everyone,Nintendo
BAYONETTA,X360,2009,Action,0.51,0.25,0.09,0.08,90.0,80.0,M,0.9299999999999999,Mature,XBox
MLB 07 THE SHOW,PS2,2007,Sports,0.77,0.03,0.0,0.13,83.0,86.0,E,0.93,Everyone,Playstation
CARS,GC,2006,Racing,0.72,0.19,0.0,0.03,71.0,70.0,E,0.94,Everyone,Nintendo
BUILD-A-BEAR WORKSHOP,DS,2007,Simulation,0.85,0.01,0.0,0.07,61.0,48.0,E,0.9299999999999999,Everyone,Nintendo
KINGDOM HEARTS RECODED,DS,2010,Role-Playing,0.53,0.09,0.27,0.05,66.0,70.0,E10+,0.9400000000000001,Everyone 10y+,Nintendo
OPERATION FLASHPOINT DRAGON RISING,X360,2009,Shooter,0.36,0.45,0.02,0.1,77.0,78.0,M,0.93,Mature,XBox
INAZUMA ELEVEN 3,DS,2010,Role-Playing,0.0,0.0,0.93,0.0,,,,0.93,Pending,Nintendo
LEGO BATMAN 3 BEYOND GOTHAM,PS4,2014,Action,0.37,0.4,0.0,0.15,73.0,71.0,E10+,0.92,Everyone 10y+,Playstation
WIPEOUT IN THE ZONE,X360,2011,Misc,0.87,0.0,0.0,0.06,39.0,56.0,E10+,0.9299999999999999,Everyone 10y+,XBox
SNOCROSS CHAMPIONSHIP RACING,PS,1999,Racing,0.52,0.35,0.0,0.06,66.0,,E,0.9299999999999999,Everyone,Playstation
BROTHERS IN ARMS HELL'S HIGHWAY,PS3,2008,Shooter,0.44,0.34,0.0,0.15,76.0,80.0,M,0.93,Mature,Playstation
THE LEGO MOVIE VIDEOGAME,PS3,2014,Action,0.33,0.43,0.02,0.15,80.0,68.0,E10+,0.93,Everyone 10y+,Playstation
ASSASSIN'S CREED III,PC,2012,Action,0.28,0.53,0.0,0.12,80.0,62.0,M,0.93,Mature,PC
BORDERLANDS 2,PC,2012,Shooter,0.42,0.41,0.0,0.1,89.0,82.0,M,0.9299999999999999,Mature,PC
TEENAGE MUTANT NINJA TURTLES,PS2,2003,Action,0.45,0.35,0.0,0.12,59.0,87.0,E,0.92,Everyone,Playstation
DISNEY MAGICAL WORLD,3DS,2013,Adventure,0.17,0.2,0.53,0.03,71.0,75.0,E,0.9300000000000002,Everyone,Nintendo
TOP GUN COMBAT ZONES,PS2,2001,Simulation,0.45,0.35,0.0,0.12,63.0,33.0,E,0.92,Everyone,Playstation
NCAA FOOTBALL 11,X360,2010,Sports,0.86,0.0,0.0,0.06,86.0,71.0,E,0.9199999999999999,Everyone,XBox
007 THE WORLD IS NOT ENOUGH,PS,2000,Action,0.51,0.35,0.0,0.06,61.0,67.0,T,0.9199999999999999,Teens,Playstation
CARS,Wii,2006,Racing,0.83,0.03,0.0,0.07,65.0,,E,0.9299999999999999,Everyone,Nintendo
MONSTER HIGH GHOUL SPIRIT,DS,2011,Misc,0.69,0.16,0.0,0.07,,,E,0.9199999999999999,Everyone,Nintendo
PHOENIX WRIGHT ACE ATTORNEY,DS,2005,Adventure,0.44,0.05,0.39,0.05,81.0,92.0,T,0.9300000000000002,Teens,Nintendo
MLB 15 THE SHOW,PS4,2015,Sports,0.68,0.08,0.0,0.17,80.0,78.0,E,0.93,Everyone,Playstation
SOUTH PARK THE STICK OF TRUTH,PS3,2014,Role-Playing,0.43,0.34,0.0,0.16,85.0,85.0,M,0.93,Mature,Playstation
SOUTH PARK THE STICK OF TRUTH,X360,2014,Role-Playing,0.58,0.26,0.0,0.09,82.0,84.0,M,0.9299999999999999,Mature,XBox
NHL 98,PS,1997,Sports,0.51,0.35,0.0,0.06,,,,0.9199999999999999,Pending,Playstation
SPACE JAM,PS,1996,Sports,0.51,0.35,0.0,0.06,,,,0.9199999999999999,Pending,Playstation
BALLOON FIGHT,NES,1985,Platform,0.39,0.09,0.43,0.01,,,,0.92,Pending,Nintendo
KNOCKOUT KINGS 2000,N64,1999,Fighting,0.63,0.27,0.0,0.02,,,,0.92,Pending,Nintendo
MLB 12 THE SHOW,PS3,2012,Sports,0.86,0.0,0.0,0.06,87.0,75.0,E,0.9199999999999999,Everyone,Playstation
SPONGEBOB SQUAREPANTS THE YELLOW AVENGER,PSP,2006,Action,0.55,0.21,0.0,0.16,48.0,64.0,E,0.92,Everyone,Other
DANTE'S INFERNO,X360,2010,Action,0.63,0.2,0.02,0.07,73.0,77.0,M,0.9200000000000002,Mature,XBox
WII PLAY MOTION,Wii,2011,Misc,0.23,0.42,0.18,0.09,60.0,61.0,E10+,0.92,Everyone 10y+,Nintendo
WWE SMACKDOWN VS RAW 2009,X360,2008,Fighting,0.58,0.26,0.0,0.08,79.0,71.0,T,0.9199999999999999,Teens,XBox
